iter	Passed	Remaining
408	6311	9120
409	6322	9097
410	6333	9076
411	6344	9055
412	6356	9034
413	6365	9010
414	6376	8987
415	6385	8964
416	6395	8941
417	6406	8919
418	6415	8895
419	6425	8873
420	6435	8851
421	6446	8829
422	6456	8806
423	6466	8784
424	6476	8762
425	6486	8740
426	6496	8717
427	6505	8694
428	6515	8671
429	6525	8649
430	6536	8629
431	6547	8608
432	6557	8586
433	6568	8566
434	6579	8546
435	6590	8524
436	6600	8502
437	6609	8480
438	6627	8469
439	6638	8448
440	6648	8427
441	6658	8406
442	6668	8384
443	6677	8361
444	6686	8339
445	6696	8317
446	6706	8296
447	6715	8274
448	6726	8254
449	6737	8235
450	6747	8213
451	6755	8190
452	6765	8169
453	6778	8151
454	6788	8130
455	6799	8111
456	6809	8091
457	6819	8069
458	6828	8048
459	6839	8028
460	6849	8008
461	6859	7988
462	6874	7972
463	6885	7954
464	6895	7933
465	6905	7912
466	6914	7892
467	6925	7872
468	6936	7853
469	6947	7833
470	6957	7814
471	6967	7794
472	6975	7772
473	6985	7752
474	6995	7732
475	7006	7713
476	7016	7693
477	7027	7674
478	7036	7653
479	7046	7633
480	7055	7612
481	7065	7593
482	7076	7574
483	7085	7554
484	7096	7535
485	7106	7516
486	7117	7497
487	7128	7478
488	7138	7460
489	7148	7440
490	7157	7420
491	7168	7401
492	7178	7381
493	7187	7362
494	7197	7343
495	7206	7323
496	7218	7305
497	7228	7286
498	7239	7268
499	7249	7249
500	7260	7231
501	7269	7211
502	7281	7194
503	7292	7177
504	7302	7158
505	7313	7140
506	7324	7122
507	7336	7105
508	7349	7089
509	7362	7073
510	7375	7057
511	7387	7041
512	7397	7022
513	7410	7006
514	7422	6989
515	7433	6972
516	7445	6955
517	7459	6940
518	7471	6924
519	7480	6905
520	7491	6887
521	7500	6868
522	7512	6851
523	7522	6833
524	7532	6814
525	7541	6796
526	7551	6778
527	7561	6759
528	7571	6741
529	7582	6724
530	7593	6706
531	7602	6687
532	7611	6668
